,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,has_missing
0,,204.8904554713363,20791.318980747023,7.300211873184757,368.51644134980336,564.3086541722439,10.3797830780847,86.9909704615088,2.9631353806316407,0,True
1,3.71608007538699,129.42292051494425,18630.057857970347,6.635245883862,,592.8853591348523,15.18001311635726,56.32907628451764,4.500656274942408,0,True
2,8.099124189298397,224.23625939355776,19909.541732292397,9.275883602694089,,418.6062130644815,16.868636929550973,66.42009251176368,3.0559337496641685,0,True
8,,118.98857909025187,14285.583854224516,7.804173553073094,268.646940746221,389.3755658712614,12.70604896865791,53.92884576751224,3.5950171809576155,0,True
11,7.974521648923869,218.69330048866644,18767.65668181348,8.110384501123875,,364.0982304620487,14.525745697593209,76.48591117965157,4.011718108339787,0,True
13,,150.1749233951362,27331.36196192776,6.838223470687509,299.41578134685847,379.7618348257725,19.370807181232124,76.5099955279583,4.413974182974902,0,True
14,7.49623220797336,205.34498215818516,28388.00488673697,5.072557773840631,,444.6453523327066,13.228311099224529,70.30021264692436,4.777382337225378,0,True
16,7.051785800016845,211.04940606054575,30980.600786788866,10.094796011661426,,315.1412672443021,20.39702184072246,56.65160378979331,4.268428857506186,0,True
18,8.975464347533963,279.3571667700924,19460.398131232112,6.204320858892474,,431.44398999034894,12.88875905430399,63.82123709666397,2.4360855903052734,0,True
20,,227.435048351156,22305.56741374141,10.33391788821868,,554.8200864605433,16.33169328269446,45.38281517787093,4.13342264357917,0,True
22,,215.97785868806776,17107.224225827616,5.607060453087125,326.943977743867,436.2561939726492,14.189062206123708,59.85547582615388,5.459250956028731,0,True
23,3.902475685915096,196.9032467083208,21167.50009896877,6.996311586298768,,444.478882506898,16.609033155789916,90.1816758847452,4.528522696326911,0,True
27,,145.76818060217258,13224.935638976958,7.906444720606137,304.0019927974152,298.99066649993244,12.729524720542258,49.536848802021865,4.004871127571583,0,True
28,,266.4210180681174,26362.965012309312,7.700063469729127,395.3894903418456,364.48010670373776,10.34895075743782,53.00838135392041,3.9915642477993063,0,True
29,,148.15306144508662,15193.41347396722,9.04683270725723,307.01179262256534,563.8047433250861,16.56865556799744,52.67618503420983,6.0381849531835865,0,True
